Reporter Name,Reporter Database Entry [mirbase],Reporter Group [organism],Comment[Contains_Mature_MiRNA],Comment[SPOT_ID]
hsa-mir-132-precNo1,hsa-miR-132,Homo sapiens,yes,NA
hsa-mir-141-precNo1,hsa-miR-141,Homo sapiens,yes,NA
hsa-mir-144-precNo1,hsa-miR-144,Homo sapiens,yes,NA
hsa-mir-147-prec,hsa-miR-147,Homo sapiens,yes,NA
hsa-mir-181b-precNo2,hsa-miR-181a*,Homo sapiens,yes,NA
hsa-mir-182-precNo2,hsa-mir-182,Homo sapiens,no,NA
hsa-mir-184-precNo2,hsa-mir-184,Homo sapiens,no,NA
mmu-mir-181aNo2,mmu-mir-181a-2,Mus musculus,no,NA
mmu-mir-299No2,mmu-miR-299,Mus musculus,yes,NA
mmu-let-7c-2No2,mmu-let-7c-2*,Mus musculus,yes,NA
mmu-mir-15aNo2,mmu-miR-15a*,Mus musculus,yes,NA
mmu-mir-20No2,mmu-mir-20a,Mus musculus,no,NA
mmu-mir-135bNo2,mmu-mir-135b,Mus musculus,no,NA
mmu-mir-28No2,mmu-miR-28*,Mus musculus,yes,NA
mmu-mir-219-1No2,mmu-mir-219-1,Mus musculus,no,NA
hsa-mir-302aNo1,hsa-miR-302a,Homo sapiens,yes,NA
hsa-mir-320No1,hsa-miR-320,Homo sapiens,yes,NA
hsa-mir-328No1,hsa-miR-328,Homo sapiens,yes,NA
hsa-mir-107No2,hsa-mir-107,Homo sapiens,no,NA
hsa-mir-130bNo2,hsa-miR-130b*,Homo sapiens,yes,NA
hsa-mir-200bNo2,hsa-miR-200b*,Homo sapiens,yes,NA
hsa-mir-338No2,hsa-mir-338,Homo sapiens,no,NA
hsa-mir-368No2,hsa-mir-376c,Homo sapiens,no,NA
hsa-mir-372No2,hsa-mir-372,Homo sapiens,no,NA
mmu-mir-468No2,mmu-mir-468,Mus musculus,no,NA
mmu-mir-471No1,mmu-mir-471,Mus musculus,yes,NA
mmu-mir-484,mmu-miR-484,Mus musculus,yes,NA
mmu-mir-153-prec,mmu-mir-153,Mus musculus,yes,NA
mmu-mir-182-prec,mmu-miR-182,Mus musculus,yes,NA
mmu-mir-185-prec,mmu-miR-185,Mus musculus,yes,NA
mmu-mir-202-prec,mmu-mir-202,Mus musculus,no,NA
